Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BATGND1,-,BatteryPad,92.0,-99.0,0.0,top
BATGND2,-,BatteryPad,208.0,-99.0,0.0,top
DL1,D_Small,Diode_SOD123,140.677565,-97.695348,-90.0,top
DL2,D_Small,Diode_SOD123,140.677565,-90.496348,-90.0,top
DL3,D_Small,Diode_SOD123,140.677565,-83.292348,-90.0,top
DL4,D_Small,Diode_SOD123,140.677565,-76.093348,-90.0,top
DL5,D_Small,Diode_SOD123,140.677565,-68.894348,-90.0,top
DL6,D_Small,Diode_SOD123,137.127565,-97.695348,-90.0,top
DL7,D_Small,Diode_SOD123,137.127565,-90.496348,-90.0,top
DL8,D_Small,Diode_SOD123,137.127565,-83.297348,-90.0,top
DL9,D_Small,Diode_SOD123,137.127565,-76.093348,-90.0,top
DL10,D_Small,Diode_SOD123,137.127565,-68.894348,-90.0,top
DL11,D_Small,Diode_SOD123,133.577565,-97.695348,-90.0,top
DL12,D_Small,Diode_SOD123,133.577565,-90.496348,-90.0,top
DL13,D_Small,Diode_SOD123,133.577565,-83.297348,-90.0,top
DL14,D_Small,Diode_SOD123,133.577565,-76.093348,-90.0,top
DL15,D_Small,Diode_SOD123,133.577565,-68.894348,-90.0,top
DL16,D_Small,Diode_SOD123,34.0,-98.5,10.0,top
DL17,D_Small,Diode_SOD123,133.577565,-104.894348,-90.0,top
DL18,D_Small,Diode_SOD123,137.127565,-104.894348,-90.0,top
DL19,D_Small,Diode_SOD123,140.677565,-104.894348,-90.0,top
DR1,D_Small,Diode_SOD123,166.422435,-97.695348,-90.0,top
DR2,D_Small,Diode_SOD123,166.422435,-90.496348,-90.0,top
DR3,D_Small,Diode_SOD123,166.422435,-83.297348,-90.0,top
DR4,D_Small,Diode_SOD123,166.422435,-76.093348,-90.0,top
DR5,D_Small,Diode_SOD123,166.422435,-68.894348,-90.0,top
DR6,D_Small,Diode_SOD123,162.872435,-97.695348,-90.0,top
DR7,D_Small,Diode_SOD123,162.872435,-90.496348,-90.0,top
DR8,D_Small,Diode_SOD123,162.872435,-83.297348,-90.0,top
DR9,D_Small,Diode_SOD123,162.872435,-76.093348,-90.0,top
DR10,D_Small,Diode_SOD123,162.872435,-68.894348,-90.0,top
DR11,D_Small,Diode_SOD123,159.322435,-97.695348,-90.0,top
DR12,D_Small,Diode_SOD123,159.322435,-90.496348,-90.0,top
DR13,D_Small,Diode_SOD123,159.322435,-83.297348,-90.0,top
DR14,D_Small,Diode_SOD123,159.322435,-76.093348,-90.0,top
DR15,D_Small,Diode_SOD123,159.322435,-68.894348,-90.0,top
DR16,D_Small,Diode_SOD123,266.0,-98.5,170.0,top
DR17,D_Small,Diode_SOD123,166.422435,-104.894348,-90.0,top
DR18,D_Small,Diode_SOD123,162.872435,-104.894348,-90.0,top
DR19,D_Small,Diode_SOD123,159.322435,-104.894348,-90.0,top
J1,MJ-4PP-9,MJ-4PP-9_1side,138.195,-56.1,0.0,top
J2,MJ-4PP-9,MJ-4PP-9_1side,161.795,-56.1,0.0,top
RSW1,SW_Push,SKHLLCA010,123.0,-51.22,0.0,top
SWL1,SW_Push_45deg,Kailh_socket_PG1350_optional,44.350509,-79.997401,10.0,top
SWL2,SW_Push_45deg,Kailh_socket_PG1350_optional,64.530814,-64.446731,4.0,top
SWL3,SW_Push_45deg,Kailh_socket_PG1350_optional,85.378629,-54.167968,0.0,top
SWL4,SW_Push_45deg,Kailh_socket_PG1350_optional,103.378641,-62.604447,0.0,top
SWL5,SW_Push_45deg,Kailh_socket_PG1350_optional,121.378605,-65.324549,0.0,top
SWL6,SW_Push_45deg,Kailh_socket_PG1350_optional,47.302565,-96.739348,10.0,top
SWL7,SW_Push_45deg,Kailh_socket_PG1350_optional,65.71669,-81.405539,4.0,top
SWL8,SW_Push_45deg,Kailh_socket_PG1350_optional,85.378629,-71.168188,0.0,top
SWL9,SW_Push_45deg,Kailh_socket_PG1350_optional,103.378641,-79.604667,0.0,top
SWL10,SW_Push_45deg,Kailh_socket_PG1350_optional,121.378605,-82.324769,0.0,top
SWL11,SW_Push_45deg,Kailh_socket_PG1350_optional,50.254623,-113.481299,10.0,top
SWL12,SW_Push_45deg,Kailh_socket_PG1350_optional,66.902565,-98.364348,4.0,top
SWL13,SW_Push_45deg,Kailh_socket_PG1350_optional,85.378629,-88.168408,0.0,top
SWL14,SW_Push_45deg,Kailh_socket_PG1350_optional,103.378641,-96.604887,0.0,top
SWL15,SW_Push_45deg,Kailh_socket_PG1350_optional,121.378605,-99.324989,0.0,top
SWL16,SW_Push_45deg,Kailh_socket_PG1350_optional,31.152565,-109.089348,10.0,top
SWL17,SW_Push_45deg,Kailh_socket_PG1350_optional,98.352565,-117.314348,0.0,top
SWL18,SW_Push_45deg,Kailh_socket_PG1350_optional,118.027565,-120.089348,-15.0,top
SWL19,SW_Push_45deg,Kailh_socket_PG1350_optional,136.477565,-127.764348,-30.0,top
SWR1,SW_Push_45deg,Kailh_socket_PG1350_optional,255.552565,-80.014348,-10.0,top
SWR2,SW_Push_45deg,Kailh_socket_PG1350_optional,235.41681,-64.453375,-4.0,top
SWR3,SW_Push_45deg,Kailh_socket_PG1350_optional,215.002565,-54.167968,0.0,top
SWR4,SW_Push_45deg,Kailh_socket_PG1350_optional,197.002605,-62.604447,0.0,top
SWR5,SW_Push_45deg,Kailh_socket_PG1350_optional,179.002645,-65.324549,0.0,top
SWR6,SW_Push_45deg,Kailh_socket_PG1350_optional,252.600506,-96.756297,-10.0,top
SWR7,SW_Push_45deg,Kailh_socket_PG1350_optional,234.230935,-81.412184,-4.0,top
SWR8,SW_Push_45deg,Kailh_socket_PG1350_optional,215.002565,-71.168188,0.0,top
SWR9,SW_Push_45deg,Kailh_socket_PG1350_optional,197.002605,-79.604667,0.0,top
SWR10,SW_Push_45deg,Kailh_socket_PG1350_optional,179.002685,-82.409847,0.0,top
SWR11,SW_Push_45deg,Kailh_socket_PG1350_optional,249.648451,-113.498245,-10.0,top
SWR12,SW_Push_45deg,Kailh_socket_PG1350_optional,233.045059,-98.370992,-4.0,top
SWR13,SW_Push_45deg,Kailh_socket_PG1350_optional,215.002565,-88.168408,0.0,top
SWR14,SW_Push_45deg,Kailh_socket_PG1350_optional,197.002605,-96.604887,0.0,top
SWR15,SW_Push_45deg,Kailh_socket_PG1350_optional,179.002685,-99.410067,0.0,top
SWR16,SW_Push_45deg,Kailh_socket_PG1350_optional,268.702565,-109.089348,-10.0,top
SWR17,SW_Push_45deg,Kailh_socket_PG1350_optional,202.027565,-117.314348,0.0,top
SWR18,SW_Push_45deg,Kailh_socket_PG1350_optional,181.877565,-120.089348,15.0,top
SWR19,SW_Push_45deg,Kailh_socket_PG1350_optional,163.427203,-127.764348,30.0,top
