Designator,Layer,Rotation,Mid X,Mid Y
C1,Bottom,90,-0.7461mm,-2.2466mm
C2,Bottom,270,-1.3628mm,1.05mm
C3,Bottom,270,1.4194mm,1.05mm
C4,Bottom,90,0.8935mm,-2.246mm
C5,Top,180,1.7039mm,-8.0431mm
C6,Top,90,-4.5914mm,-4.8837mm
C7,Top,90,1mm,0.568mm
C8,Top,180,-1.6004mm,-8.0431mm
D1,Bottom,180,-1.5535mm,-4.661mm
D2,Bottom,180,-4.4258mm,2.2845mm
D3,Bottom,0,4.4464mm,2.2845mm
D4,Bottom,0,1.7mm,-4.661mm
G-LED,Top,0,4.0409mm,9.5134mm
HL1,Bottom,0,5.8553mm,-9.5697mm
HL2,Bottom,0,-5.7898mm,-9.5697mm
J1,Bottom,180,0mm,3.9411mm
Q1,Bottom,90,-1.5535mm,-7.0431mm
Q2,Bottom,90,-4.0078mm,0.05mm
Q3,Bottom,90,4.0534mm,0.05mm
Q4,Bottom,90,1.7001mm,-7.0431mm
R1,Bottom,0,-1.516mm,-9.5697mm
R2,Bottom,0,-4.0453mm,-2.4374mm
R3,Bottom,0,4.1159mm,-2.4374mm
R4,Bottom,0,1.6625mm,-9.5697mm
R5,Top,270,4.62mm,-4.9685mm
R6,Top,270,-2.7165mm,0.4477mm
R7,Top,270,-0.9074mm,0.4477mm
R8,Top,90,1mm,6.6265mm
R9,Top,270,-1mm,6.6265mm
R10,Top,270,-3.1137mm,6.2339mm
R11,Top,270,3.1034mm,6.2339mm
R12,Top,270,-4.3644mm,-8.3594mm
R13,Top,270,4.62mm,-8.3944mm
R14,Top,270,-4.8795mm,6.2339mm
R15,Top,270,4.9178mm,6.2339mm
R-LED,Top,180,-4.0637mm,9.5134mm
TL1,Bottom,0,5.8678mm,9.5134mm
TL2,Bottom,0,-5.8295mm,9.5134mm
U1,Top,0,0.0039mm,-3.911mm